date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:23:16	112/112	---MC-	200	added ('OK')	text/plain	date:Mon,%2002%20Sep%202024%2008:23:14%20GMT	https://iccicct.com/robots.txt		(from )
08:23:16	85209/85209	---MC-	200	added ('OK')	text/html	date:Mon,%2002%20Sep%202024%2008:23:15%20GMT	https://iccicct.com/	iccicct.com/index.html	(from )
08:23:16	17688/17688	---M--	200	added ('OK')	text/css	date:Sat,%2017%20Aug%202024%2011:15:32%20GMT	https://iccicct.com/wp-content/plugins/woocommerce/assets/css/woocommerce-layout.css?ver=9.1.4	iccicct.com/wp-content/plugins/woocommerce/assets/css/woocommerce-layout4615.css	(from https://iccicct.com/)
08:23:17	7043/7043	---M--	200	added ('OK')	text/css	date:Sat,%2017%20Aug%202024%2011:15:32%20GMT	https://iccicct.com/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreen.css?ver=9.1.4	iccicct.com/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreen4615.css	(from https://iccicct.com/)
08:23:19	78164/78164	---M--	200	added ('OK')	text/css	date:Sat,%2017%20Aug%202024%2011:15:32%20GMT	https://iccicct.com/wp-content/plugins/woocommerce/assets/css/woocommerce.css?ver=9.1.4	iccicct.com/wp-content/plugins/woocommerce/assets/css/woocommerce4615.css	(from https://iccicct.com/)
08:23:19	1617/1617	---MC-	200	added ('OK')	application/rss+xml	etag:%2233e9da26f2ce4330bf4bd9593c095452%22	https://iccicct.com/comments/feed/	iccicct.com/comments/feed/index.html	(from https://iccicct.com/)
08:23:19	4994/4994	---MC-	200	added ('OK')	application/rss+xml	etag:%2233e9da26f2ce4330bf4bd9593c095452%22	https://iccicct.com/feed/	iccicct.com/feed/index.html	(from https://iccicct.com/)
08:23:19	4719/4719	---M--	200	added ('OK')	text/css	date:Sat,%2017%20Aug%202024%2011:18:13%20GMT	https://iccicct.com/wp-content/plugins/metform/public/assets/lib/cute-alert/style.css?ver=3.8.9	iccicct.com/wp-content/plugins/metform/public/assets/lib/cute-alert/style6f61.css	(from https://iccicct.com/)
08:23:20	22474/22474	---M--	200	added ('OK')	text/css	date:Sat,%2017%20Aug%202024%2011:18:13%20GMT	https://iccicct.com/wp-content/plugins/metform/public/assets/css/text-editor.css?ver=3.8.9	iccicct.com/wp-content/plugins/metform/public/assets/css/text-editor6f61.css	(from https://iccicct.com/)
08:23:21	59016/59016	---M--	200	added ('OK')	text/css	date:Wed,%2003%20Mar%202021%2021:16:22%20GMT	https://iccicct.com/wp-includes/css/dashicons.min.css?ver=6.6.1	iccicct.com/wp-includes/css/dashicons.minb6a4.css	(from https://iccicct.com/)
08:23:23	57095/57095	---M--	200	added ('OK')	text/css	date:Fri,%2029%20Mar%202024%2013:39:04%20GMT	https://iccicct.com/wp-content/themes/event-elementor/assets/css/animate.css?ver=6.6.1	iccicct.com/wp-content/themes/event-elementor/assets/css/animateb6a4.css	(from https://iccicct.com/)
08:23:24	185698/185698	---M--	200	added ('OK')	text/css	date:Fri,%2029%20Mar%202024%2013:39:04%20GMT	https://iccicct.com/wp-content/themes/event-elementor/assets/css/bootstrap.css?ver=6.6.1	iccicct.com/wp-content/themes/event-elementor/assets/css/bootstrapb6a4.css	(from https://iccicct.com/)
08:23:24	21279/21279	---M--	200	added ('OK')	text/css	date:Fri,%2029%20Mar%202024%2013:39:04%20GMT	https://iccicct.com/wp-content/themes/event-elementor/assets/css/header.css?ver=6.6.1	iccicct.com/wp-content/themes/event-elementor/assets/css/headerb6a4.css	(from https://iccicct.com/)
08:23:25	6950/6950	---M--	200	added ('OK')	text/css	date:Fri,%2029%20Mar%202024%2013:39:04%20GMT	https://iccicct.com/wp-content/themes/event-elementor/assets/css/magnific-popup.css?ver=6.6.1	iccicct.com/wp-content/themes/event-elementor/assets/css/magnific-popupb6a4.css	(from https://iccicct.com/)
08:23:26	4781/4781	---M--	200	added ('OK')	text/css	date:Fri,%2029%20Mar%202024%2013:39:04%20GMT	https://iccicct.com/wp-content/themes/event-elementor/assets/css/owl.carousel.css?ver=6.6.1	iccicct.com/wp-content/themes/event-elementor/assets/css/owl.carouselb6a4.css	(from https://iccicct.com/)
08:23:27	1149/1149	---M--	200	added ('OK')	text/css	date:Fri,%2029%20Mar%202024%2013:39:04%20GMT	https://iccicct.com/wp-content/themes/event-elementor/assets/css/owl.theme.default.css?ver=6.6.1	iccicct.com/wp-content/themes/event-elementor/assets/css/owl.theme.defaultb6a4.css	(from https://iccicct.com/)
08:23:28	38719/38719	---M--	200	added ('OK')	text/css	date:Fri,%2029%20Mar%202024%2013:39:04%20GMT	https://iccicct.com/wp-content/themes/event-elementor/assets/css/font-awesome.css?ver=6.6.1	iccicct.com/wp-content/themes/event-elementor/assets/css/font-awesomeb6a4.css	(from https://iccicct.com/)
08:23:29	1786/1786	---M--	200	added ('OK')	text/css	date:Fri,%2029%20Mar%202024%2013:39:04%20GMT	https://iccicct.com/wp-content/themes/event-elementor/assets/css/responsive.css?ver=6.6.1	iccicct.com/wp-content/themes/event-elementor/assets/css/responsiveb6a4.css	(from https://iccicct.com/)
08:23:30	2809/2809	---M--	200	added ('OK')	text/css	date:Fri,%2029%20Mar%202024%2013:39:04%20GMT	https://iccicct.com/wp-content/themes/event-elementor/assets/css/skin-2.css?ver=6.6.1	iccicct.com/wp-content/themes/event-elementor/assets/css/skin-2b6a4.css	(from https://iccicct.com/)
